# python converter.py -mp $(pwd)/out/BEIT/100_2022-10-05-16-52-47/model/
/opt/conda/lib/python3.9/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  /opt/conda/conda-bld/pytorch_1646755888534/work/aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/opt/conda/lib/python3.9/site-packages/transformers/models/beit/modeling_beit.py:198: TracerWarning: Converting a tensor to a Python boolean might cause the trace to be incorrect. We can't record the data flow of Python values, so this value will be treated as a constant in the future. This means that the trace might not generalize to other inputs!
  if num_channels != self.num_channels:
/opt/conda/lib/python3.9/site-packages/transformers/models/beit/modeling_beit.py:202: TracerWarning: Converting a tensor to a Python boolean might cause the trace to be incorrect. We can't record the data flow of Python values, so this value will be treated as a constant in the future. This means that the trace might not generalize to other inputs!
  if height != self.image_size[0] or width != self.image_size[1]:
Resolving data files: 100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1000/1000 [00:00<00:00, 27481.29it/s]
Using custom data configuration default-0457705da11e039f
Reusing dataset imagefolder (/root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597)
100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1/1 [00:00<00:00, 106.35it/s]
Loading cached processed dataset at /root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597/cache-7de29a718a59cffc.arrow
Misclassified image #1 [{'score': 0.9999511241912842, 'label': 'GP'}, {'score': 4.8905752919381484e-05, 'label': 'GN'}] GN/2015_106542_2.jpg
Misclassified image #2 [{'score': 0.9389982223510742, 'label': 'GP'}, {'score': 0.06100176274776459, 'label': 'GN'}] GN/2015_107284_1.jpg
Misclassified image #3 [{'score': 0.9997944235801697, 'label': 'GP'}, {'score': 0.00020560827397275716, 'label': 'GN'}] GN/2015_108032_1.jpg
Misclassified image #4 [{'score': 0.9999983310699463, 'label': 'GP'}, {'score': 1.610971139598405e-06, 'label': 'GN'}] GN/2015_109763_0.jpg
Misclassified image #5 [{'score': 0.9999998807907104, 'label': 'GP'}, {'score': 8.18873928665198e-08, 'label': 'GN'}] GN/2015_109763_1.jpg
Misclassified image #6 [{'score': 0.9999996423721313, 'label': 'GP'}, {'score': 3.2525878168598865e-07, 'label': 'GN'}] GN/2015_109763_2.jpg
Misclassified image #7 [{'score': 0.9999998807907104, 'label': 'GP'}, {'score': 8.299991094418147e-08, 'label': 'GN'}] GN/2015_109763_3.jpg
Misclassified image #8 [{'score': 0.9999996423721313, 'label': 'GP'}, {'score': 3.342727268318413e-07, 'label': 'GN'}] GN/2015_109763_4.jpg
Misclassified image #9 [{'score': 0.9999998807907104, 'label': 'GP'}, {'score': 1.4223905964172445e-07, 'label': 'GN'}] GN/2015_109763_5.jpg
Misclassified image #10 [{'score': 0.999941349029541, 'label': 'GP'}, {'score': 5.867994696018286e-05, 'label': 'GN'}] GN/2015_110966_2.jpg
Misclassified image #11 [{'score': 0.9999082088470459, 'label': 'GP'}, {'score': 9.183183283312246e-05, 'label': 'GN'}] GN/2015_111287_0.jpg
Misclassified image #12 [{'score': 0.6686681509017944, 'label': 'GP'}, {'score': 0.3313318192958832, 'label': 'GN'}] GN/2015_113341_1.jpg
Misclassified image #13 [{'score': 0.9999998807907104, 'label': 'GP'}, {'score': 1.7255531759019505e-07, 'label': 'GN'}] GN/2015_114062_1.jpg
Misclassified image #14 [{'score': 0.9999998807907104, 'label': 'GP'}, {'score': 1.477670537042286e-07, 'label': 'GN'}] GN/2015_114062_2.jpg
Misclassified image #15 [{'score': 0.9999984502792358, 'label': 'GP'}, {'score': 1.547838223814324e-06, 'label': 'GN'}] GN/2015_117634_1.jpg
Misclassified image #16 [{'score': 0.9999997615814209, 'label': 'GP'}, {'score': 2.453340357533307e-07, 'label': 'GN'}] GN/2015_117634_2.jpg
Misclassified image #17 [{'score': 0.8254905939102173, 'label': 'GP'}, {'score': 0.1745094507932663, 'label': 'GN'}] GN/2015_118083_0.jpg
Misclassified image #18 [{'score': 0.9046684503555298, 'label': 'GP'}, {'score': 0.09533149003982544, 'label': 'GN'}] GN/2015_122407_1.jpg
Misclassified image #19 [{'score': 0.9945846199989319, 'label': 'GP'}, {'score': 0.005415450781583786, 'label': 'GN'}] GN/2015_123243_1.jpg
Misclassified image #20 [{'score': 0.9420209527015686, 'label': 'GP'}, {'score': 0.05797899514436722, 'label': 'GN'}] GN/2015_123740_1.jpg
Misclassified image #21 [{'score': 0.9999985694885254, 'label': 'GP'}, {'score': 1.3790109960609698e-06, 'label': 'GN'}] GN/2015_123740_2.jpg
