# python converter.py -mp $(pwd)/out/VIT/1_2022-09-26-21-42-40/model/
/opt/conda/lib/python3.9/site-packages/transformers/models/vit/modeling_vit.py:172: TracerWarning: Converting a tensor to a Python boolean might cause the trace to be incorrect. We can't record the data flow of Python values, so this value will be treated as a constant in the future. This means that the trace might not generalize to other inputs!
  if num_channels != self.num_channels:
/opt/conda/lib/python3.9/site-packages/transformers/models/vit/modeling_vit.py:177: TracerWarning: Converting a tensor to a Python boolean might cause the trace to be incorrect. We can't record the data flow of Python values, so this value will be treated as a constant in the future. This means that the trace might not generalize to other inputs!
  if height != self.image_size[0] or width != self.image_size[1]:
Resolving data files: 100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1000/1000 [00:00<00:00, 50183.71it/s]
Using custom data configuration default-0457705da11e039f
Reusing dataset imagefolder (/root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597)
100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1/1 [00:00<00:00, 106.09it/s]
Loading cached processed dataset at /root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597/cache-7de29a718a59cffc.arrow
Misclassified image #1 [{'score': 0.6572412848472595, 'label': 'GP'}, {'score': 0.3427586853504181, 'label': 'GN'}] GN/2015_106542_2.jpg
Misclassified image #2 [{'score': 0.9665979743003845, 'label': 'GP'}, {'score': 0.033402036875486374, 'label': 'GN'}] GN/2015_107284_1.jpg
Misclassified image #3 [{'score': 0.6403877139091492, 'label': 'GP'}, {'score': 0.35961225628852844, 'label': 'GN'}] GN/2015_108024_0.jpg
Misclassified image #4 [{'score': 0.501115083694458, 'label': 'GP'}, {'score': 0.49888497591018677, 'label': 'GN'}] GN/2015_108342_0.jpg
Misclassified image #5 [{'score': 0.6063709855079651, 'label': 'GP'}, {'score': 0.3936289846897125, 'label': 'GN'}] GN/2015_108833_0.jpg
Misclassified image #6 [{'score': 0.9396359920501709, 'label': 'GP'}, {'score': 0.06036398187279701, 'label': 'GN'}] GN/2015_109763_0.jpg
Misclassified image #7 [{'score': 0.9145887494087219, 'label': 'GP'}, {'score': 0.08541125059127808, 'label': 'GN'}] GN/2015_109763_1.jpg
Misclassified image #8 [{'score': 0.9903044104576111, 'label': 'GP'}, {'score': 0.009695556946098804, 'label': 'GN'}] GN/2015_109763_2.jpg
Misclassified image #9 [{'score': 0.9017280340194702, 'label': 'GP'}, {'score': 0.09827195852994919, 'label': 'GN'}] GN/2015_109763_3.jpg
Misclassified image #10 [{'score': 0.9127604365348816, 'label': 'GP'}, {'score': 0.08723952621221542, 'label': 'GN'}] GN/2015_109763_4.jpg
Misclassified image #11 [{'score': 0.9810159802436829, 'label': 'GP'}, {'score': 0.01898403838276863, 'label': 'GN'}] GN/2015_109763_5.jpg
Misclassified image #12 [{'score': 0.5700386166572571, 'label': 'GP'}, {'score': 0.4299613833427429, 'label': 'GN'}] GN/2015_109925_1.jpg
Misclassified image #13 [{'score': 0.5112802386283875, 'label': 'GP'}, {'score': 0.48871976137161255, 'label': 'GN'}] GN/2015_110695_1.jpg
Misclassified image #14 [{'score': 0.6545112729072571, 'label': 'GP'}, {'score': 0.3454887568950653, 'label': 'GN'}] GN/2015_110966_0.jpg
Misclassified image #15 [{'score': 0.6425366997718811, 'label': 'GP'}, {'score': 0.3574632704257965, 'label': 'GN'}] GN/2015_110966_1.jpg
Misclassified image #16 [{'score': 0.9465706944465637, 'label': 'GP'}, {'score': 0.0534292608499527, 'label': 'GN'}] GN/2015_111229_0.jpg
Misclassified image #17 [{'score': 0.9150136113166809, 'label': 'GP'}, {'score': 0.0849863663315773, 'label': 'GN'}] GN/2015_111229_1.jpg
Misclassified image #18 [{'score': 0.5299254655838013, 'label': 'GP'}, {'score': 0.4700745642185211, 'label': 'GN'}] GN/2015_111229_2.jpg
Misclassified image #19 [{'score': 0.9632299542427063, 'label': 'GP'}, {'score': 0.03677007555961609, 'label': 'GN'}] GN/2015_111229_3.jpg
Misclassified image #20 [{'score': 0.5266464352607727, 'label': 'GP'}, {'score': 0.4733535051345825, 'label': 'GN'}] GN/2015_111287_0.jpg
Misclassified image #21 [{'score': 0.8377630710601807, 'label': 'GP'}, {'score': 0.16223692893981934, 'label': 'GN'}] GN/2015_111861_0.jpg
Misclassified image #22 [{'score': 0.6341891884803772, 'label': 'GP'}, {'score': 0.3658108711242676, 'label': 'GN'}] GN/2015_111923_1.jpg
Misclassified image #23 [{'score': 0.5421960353851318, 'label': 'GP'}, {'score': 0.4578039348125458, 'label': 'GN'}] GN/2015_111923_3.jpg
Misclassified image #24 [{'score': 0.6393499374389648, 'label': 'GP'}, {'score': 0.36065006256103516, 'label': 'GN'}] GN/2015_113184_2.jpg
Misclassified image #25 [{'score': 0.5851008892059326, 'label': 'GP'}, {'score': 0.41489917039871216, 'label': 'GN'}] GN/2015_113341_1.jpg
Misclassified image #26 [{'score': 0.6498322486877441, 'label': 'GP'}, {'score': 0.35016772150993347, 'label': 'GN'}] GN/2015_114062_0.jpg
Misclassified image #27 [{'score': 0.9830332398414612, 'label': 'GP'}, {'score': 0.01696675270795822, 'label': 'GN'}] GN/2015_114062_1.jpg
Misclassified image #28 [{'score': 0.9839757680892944, 'label': 'GP'}, {'score': 0.016024252399802208, 'label': 'GN'}] GN/2015_114062_2.jpg
Misclassified image #29 [{'score': 0.5167226791381836, 'label': 'GP'}, {'score': 0.483277291059494, 'label': 'GN'}] GN/2015_114804_1.jpg
Misclassified image #30 [{'score': 0.5464608073234558, 'label': 'GP'}, {'score': 0.45353928208351135, 'label': 'GN'}] GN/2015_115542_0.jpg
Misclassified image #31 [{'score': 0.8401184678077698, 'label': 'GP'}, {'score': 0.1598815768957138, 'label': 'GN'}] GN/2015_115542_1.jpg
Misclassified image #32 [{'score': 0.6472815275192261, 'label': 'GP'}, {'score': 0.35271844267845154, 'label': 'GN'}] GN/2015_115542_2.jpg
Misclassified image #33 [{'score': 0.605908215045929, 'label': 'GP'}, {'score': 0.39409175515174866, 'label': 'GN'}] GN/2015_116356_2.jpg
Misclassified image #34 [{'score': 0.559816300868988, 'label': 'GP'}, {'score': 0.4401836395263672, 'label': 'GN'}] GN/2015_116698_1.jpg
Misclassified image #35 [{'score': 0.92886883020401, 'label': 'GP'}, {'score': 0.0711311474442482, 'label': 'GN'}] GN/2015_117634_1.jpg
Misclassified image #36 [{'score': 0.9810007214546204, 'label': 'GP'}, {'score': 0.018999312072992325, 'label': 'GN'}] GN/2015_117634_2.jpg
Misclassified image #37 [{'score': 0.6658359169960022, 'label': 'GP'}, {'score': 0.3341640830039978, 'label': 'GN'}] GN/2015_117862_0.jpg
Misclassified image #38 [{'score': 0.7130287885665894, 'label': 'GP'}, {'score': 0.28697121143341064, 'label': 'GN'}] GN/2015_117862_2.jpg
Misclassified image #39 [{'score': 0.5030918121337891, 'label': 'GP'}, {'score': 0.49690818786621094, 'label': 'GN'}] GN/2015_117974_1.jpg
Misclassified image #40 [{'score': 0.7889922857284546, 'label': 'GP'}, {'score': 0.21100768446922302, 'label': 'GN'}] GN/2015_117974_2.jpg
Misclassified image #41 [{'score': 0.672219455242157, 'label': 'GP'}, {'score': 0.327780544757843, 'label': 'GN'}] GN/2015_118083_0.jpg
Misclassified image #42 [{'score': 0.5435254573822021, 'label': 'GP'}, {'score': 0.45647454261779785, 'label': 'GN'}] GN/2015_118887_0.jpg
Misclassified image #43 [{'score': 0.8325296640396118, 'label': 'GP'}, {'score': 0.167470321059227, 'label': 'GN'}] GN/2015_122407_1.jpg
Misclassified image #44 [{'score': 0.8045361638069153, 'label': 'GP'}, {'score': 0.19546382129192352, 'label': 'GN'}] GN/2015_123243_0.jpg
Misclassified image #45 [{'score': 0.8896437883377075, 'label': 'GP'}, {'score': 0.11035621911287308, 'label': 'GN'}] GN/2015_123243_1.jpg
