# python quantizer.py -mp $(pwd)/out/BEIT/1_2022-09-26-23-22-59/model/
Resolving data files: 100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1000/1000 [00:00<00:00, 99116.29it/s]
WARNING:datasets.builder:Using custom data configuration default-0457705da11e039f
WARNING:datasets.builder:Reusing dataset imagefolder (/root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597)
100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1/1 [00:00<00:00, 131.69it/s]
WARNING:datasets.arrow_dataset:Loading cached processed dataset at /root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597/cache-7de29a718a59cffc.arrow
Misclassified image #1 [{'score': 0.6290479898452759, 'label': 'GP'}, {'score': 0.37095198035240173, 'label': 'GN'}] GN/2015_106542_2.jpg
Misclassified image #2 [{'score': 0.6883115172386169, 'label': 'GP'}, {'score': 0.31168851256370544, 'label': 'GN'}] GN/2015_106628_2.jpg
Misclassified image #3 [{'score': 0.8964710831642151, 'label': 'GP'}, {'score': 0.10352891683578491, 'label': 'GN'}] GN/2015_107284_1.jpg
Misclassified image #4 [{'score': 0.6228170394897461, 'label': 'GP'}, {'score': 0.3771830201148987, 'label': 'GN'}] GN/2015_108342_0.jpg
Misclassified image #5 [{'score': 0.665471613407135, 'label': 'GP'}, {'score': 0.3345283269882202, 'label': 'GN'}] GN/2015_109763_0.jpg
Misclassified image #6 [{'score': 0.9621226787567139, 'label': 'GP'}, {'score': 0.03787737712264061, 'label': 'GN'}] GN/2015_109763_1.jpg
Misclassified image #7 [{'score': 0.981476366519928, 'label': 'GP'}, {'score': 0.01852366514503956, 'label': 'GN'}] GN/2015_109763_2.jpg
Misclassified image #8 [{'score': 0.987387478351593, 'label': 'GP'}, {'score': 0.012612514197826385, 'label': 'GN'}] GN/2015_109763_3.jpg
Misclassified image #9 [{'score': 0.7727100253105164, 'label': 'GP'}, {'score': 0.22728992998600006, 'label': 'GN'}] GN/2015_109763_4.jpg
Misclassified image #10 [{'score': 0.9775218963623047, 'label': 'GP'}, {'score': 0.022478125989437103, 'label': 'GN'}] GN/2015_109763_5.jpg
Misclassified image #11 [{'score': 0.5070297718048096, 'label': 'GP'}, {'score': 0.49297022819519043, 'label': 'GN'}] GN/2015_109925_1.jpg
Misclassified image #12 [{'score': 0.5976664423942566, 'label': 'GP'}, {'score': 0.402333527803421, 'label': 'GN'}] GN/2015_110695_1.jpg
Misclassified image #13 [{'score': 0.5467783212661743, 'label': 'GP'}, {'score': 0.4532216787338257, 'label': 'GN'}] GN/2015_111229_0.jpg
Misclassified image #14 [{'score': 0.7939391732215881, 'label': 'GP'}, {'score': 0.20606081187725067, 'label': 'GN'}] GN/2015_111229_3.jpg
Misclassified image #15 [{'score': 0.9811918139457703, 'label': 'GP'}, {'score': 0.018808171153068542, 'label': 'GN'}] GN/2015_111287_0.jpg
Misclassified image #16 [{'score': 0.7679703831672668, 'label': 'GP'}, {'score': 0.23202967643737793, 'label': 'GN'}] GN/2015_112502_0.jpg
Misclassified image #17 [{'score': 0.6542666554450989, 'label': 'GP'}, {'score': 0.34573331475257874, 'label': 'GN'}] GN/2015_112502_1.jpg
Misclassified image #18 [{'score': 0.5460877418518066, 'label': 'GP'}, {'score': 0.45391222834587097, 'label': 'GN'}] GN/2015_112502_2.jpg
Misclassified image #19 [{'score': 0.7422724366188049, 'label': 'GP'}, {'score': 0.2577275037765503, 'label': 'GN'}] GN/2015_113184_2.jpg
Misclassified image #20 [{'score': 0.8774579167366028, 'label': 'GP'}, {'score': 0.12254207581281662, 'label': 'GN'}] GN/2015_114062_1.jpg
Misclassified image #21 [{'score': 0.8200409412384033, 'label': 'GP'}, {'score': 0.17995908856391907, 'label': 'GN'}] GN/2015_114062_2.jpg
Misclassified image #22 [{'score': 0.8397125005722046, 'label': 'GP'}, {'score': 0.16028746962547302, 'label': 'GN'}] GN/2015_114490_1.jpg
Misclassified image #23 [{'score': 0.5873682498931885, 'label': 'GP'}, {'score': 0.4126317799091339, 'label': 'GN'}] GN/2015_116698_1.jpg
Misclassified image #24 [{'score': 0.8921836018562317, 'label': 'GP'}, {'score': 0.10781645029783249, 'label': 'GN'}] GN/2015_117634_1.jpg
