# python quantizer.py -mp $(pwd)/out/CONVNEXT/100_2022-09-27-23-01-50/model/
Resolving data files: 100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1000/1000 [00:00<00:00, 32032.50it/s]
WARNING:datasets.builder:Using custom data configuration default-0457705da11e039f
WARNING:datasets.builder:Reusing dataset imagefolder (/root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597)
100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1/1 [00:00<00:00, 104.10it/s]
WARNING:datasets.arrow_dataset:Loading cached processed dataset at /root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597/cache-7de29a718a59cffc.arrow
Misclassified image #1 [{'score': 0.9999995231628418, 'label': 'GP'}, {'score': 4.742010162317456e-07, 'label': 'GN'}] GN/2015_106542_2.jpg
Misclassified image #2 [{'score': 0.8788094520568848, 'label': 'GP'}, {'score': 0.12119053304195404, 'label': 'GN'}] GN/2015_106628_2.jpg
Misclassified image #3 [{'score': 0.9999970197677612, 'label': 'GP'}, {'score': 3.0221287943277275e-06, 'label': 'GN'}] GN/2015_107284_1.jpg
Misclassified image #4 [{'score': 0.9999560117721558, 'label': 'GP'}, {'score': 4.402838749228977e-05, 'label': 'GN'}] GN/2015_108342_0.jpg
Misclassified image #5 [{'score': 0.9999996423721313, 'label': 'GP'}, {'score': 3.6560339822244714e-07, 'label': 'GN'}] GN/2015_109763_0.jpg
Misclassified image #6 [{'score': 0.9999995231628418, 'label': 'GP'}, {'score': 5.136918730386242e-07, 'label': 'GN'}] GN/2015_109763_1.jpg
Misclassified image #7 [{'score': 0.9999994039535522, 'label': 'GP'}, {'score': 6.451968488363491e-07, 'label': 'GN'}] GN/2015_109763_2.jpg
Misclassified image #8 [{'score': 0.9999995231628418, 'label': 'GP'}, {'score': 4.853681048189173e-07, 'label': 'GN'}] GN/2015_109763_3.jpg
Misclassified image #9 [{'score': 0.9999984502792358, 'label': 'GP'}, {'score': 1.563763021295017e-06, 'label': 'GN'}] GN/2015_109763_4.jpg
Misclassified image #10 [{'score': 0.9999996423721313, 'label': 'GP'}, {'score': 3.7597342839035264e-07, 'label': 'GN'}] GN/2015_109763_5.jpg
Misclassified image #11 [{'score': 0.5880088806152344, 'label': 'GP'}, {'score': 0.41199105978012085, 'label': 'GN'}] GN/2015_109925_0.jpg
Misclassified image #12 [{'score': 0.999924898147583, 'label': 'GP'}, {'score': 7.515011384384707e-05, 'label': 'GN'}] GN/2015_109925_2.jpg
Misclassified image #13 [{'score': 0.9999849796295166, 'label': 'GP'}, {'score': 1.4988882867328357e-05, 'label': 'GN'}] GN/2015_110456_2.jpg
Misclassified image #14 [{'score': 0.9999996423721313, 'label': 'GP'}, {'score': 3.929885394882149e-07, 'label': 'GN'}] GN/2015_110922_0.jpg
Misclassified image #15 [{'score': 0.9999946355819702, 'label': 'GP'}, {'score': 5.336740741768153e-06, 'label': 'GN'}] GN/2015_111229_0.jpg
Misclassified image #16 [{'score': 0.9999994039535522, 'label': 'GP'}, {'score': 5.565642595684039e-07, 'label': 'GN'}] GN/2015_111287_0.jpg
Misclassified image #17 [{'score': 0.9999990463256836, 'label': 'GP'}, {'score': 9.32379691676033e-07, 'label': 'GN'}] GN/2015_114062_1.jpg
