# python quantizer.py -mp $(pwd)/out/SWIN/100_2022-10-03-21-42-58/model/
Resolving data files: 100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1000/1000 [00:00<00:00, 40000.99it/s]
WARNING:datasets.builder:Using custom data configuration default-0457705da11e039f
WARNING:datasets.builder:Reusing dataset imagefolder (/root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597)
100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1/1 [00:00<00:00, 129.92it/s]
WARNING:datasets.arrow_dataset:Loading cached processed dataset at /root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597/cache-7de29a718a59cffc.arrow
Misclassified image #1 [{'score': 0.6242101788520813, 'label': 'GP'}, {'score': 0.3757897913455963, 'label': 'GN'}] GN/2015_106542_0.jpg
Misclassified image #2 [{'score': 0.6444506645202637, 'label': 'GP'}, {'score': 0.3555493950843811, 'label': 'GN'}] GN/2015_106542_1.jpg
Misclassified image #3 [{'score': 0.6555739045143127, 'label': 'GP'}, {'score': 0.34442606568336487, 'label': 'GN'}] GN/2015_106542_2.jpg
Misclassified image #4 [{'score': 0.5862178802490234, 'label': 'GP'}, {'score': 0.4137820899486542, 'label': 'GN'}] GN/2015_106628_0.jpg
Misclassified image #5 [{'score': 0.5647306442260742, 'label': 'GP'}, {'score': 0.43526944518089294, 'label': 'GN'}] GN/2015_106628_1.jpg
Misclassified image #6 [{'score': 0.6798961162567139, 'label': 'GP'}, {'score': 0.32010385394096375, 'label': 'GN'}] GN/2015_106628_2.jpg
Misclassified image #7 [{'score': 0.5972859859466553, 'label': 'GP'}, {'score': 0.4027140140533447, 'label': 'GN'}] GN/2015_107171_0.jpg
Misclassified image #8 [{'score': 0.5473781824111938, 'label': 'GP'}, {'score': 0.4526217579841614, 'label': 'GN'}] GN/2015_107171_1.jpg
Misclassified image #9 [{'score': 0.6228529810905457, 'label': 'GP'}, {'score': 0.37714704871177673, 'label': 'GN'}] GN/2015_107171_2.jpg
Misclassified image #10 [{'score': 0.6093239784240723, 'label': 'GP'}, {'score': 0.39067599177360535, 'label': 'GN'}] GN/2015_107284_0.jpg
Misclassified image #11 [{'score': 0.7277216911315918, 'label': 'GP'}, {'score': 0.2722783386707306, 'label': 'GN'}] GN/2015_107284_1.jpg
Misclassified image #12 [{'score': 0.6085854768753052, 'label': 'GP'}, {'score': 0.3914145529270172, 'label': 'GN'}] GN/2015_107284_2.jpg
Misclassified image #13 [{'score': 0.5450612306594849, 'label': 'GP'}, {'score': 0.45493870973587036, 'label': 'GN'}] GN/2015_107458_0.jpg
Misclassified image #14 [{'score': 0.5711250305175781, 'label': 'GP'}, {'score': 0.42887499928474426, 'label': 'GN'}] GN/2015_107458_1.jpg
Misclassified image #15 [{'score': 0.6008774042129517, 'label': 'GP'}, {'score': 0.39912259578704834, 'label': 'GN'}] GN/2015_107458_2.jpg
Misclassified image #16 [{'score': 0.6019831895828247, 'label': 'GP'}, {'score': 0.3980167806148529, 'label': 'GN'}] GN/2015_107603_0.jpg
