# python quantizer.py -mp $(pwd)/out/VIT/1_2022-09-26-21-42-40/model/
Resolving data files: 100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1000/1000 [00:00<00:00, 66243.98it/s]
WARNING:datasets.builder:Using custom data configuration default-0457705da11e039f
WARNING:datasets.builder:Reusing dataset imagefolder (/root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597)
100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1/1 [00:00<00:00, 133.61it/s]
WARNING:datasets.arrow_dataset:Loading cached processed dataset at /root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597/cache-7de29a718a59cffc.arrow
Misclassified image #1 [{'score': 0.7096713781356812, 'label': 'GP'}, {'score': 0.29032859206199646, 'label': 'GN'}] GN/2015_106542_2.jpg
Misclassified image #2 [{'score': 0.9610767960548401, 'label': 'GP'}, {'score': 0.03892318531870842, 'label': 'GN'}] GN/2015_107284_1.jpg
Misclassified image #3 [{'score': 0.6046773791313171, 'label': 'GP'}, {'score': 0.39532265067100525, 'label': 'GN'}] GN/2015_108024_0.jpg
Misclassified image #4 [{'score': 0.5625899434089661, 'label': 'GP'}, {'score': 0.4374099671840668, 'label': 'GN'}] GN/2015_108342_0.jpg
Misclassified image #5 [{'score': 0.5620278120040894, 'label': 'GP'}, {'score': 0.43797221779823303, 'label': 'GN'}] GN/2015_108833_0.jpg
Misclassified image #6 [{'score': 0.9486709833145142, 'label': 'GP'}, {'score': 0.05132896080613136, 'label': 'GN'}] GN/2015_109763_0.jpg
Misclassified image #7 [{'score': 0.9089514017105103, 'label': 'GP'}, {'score': 0.09104861319065094, 'label': 'GN'}] GN/2015_109763_1.jpg
Misclassified image #8 [{'score': 0.9911001324653625, 'label': 'GP'}, {'score': 0.008899936452507973, 'label': 'GN'}] GN/2015_109763_2.jpg
Misclassified image #9 [{'score': 0.8656070232391357, 'label': 'GP'}, {'score': 0.13439297676086426, 'label': 'GN'}] GN/2015_109763_3.jpg
Misclassified image #10 [{'score': 0.9207825660705566, 'label': 'GP'}, {'score': 0.07921744138002396, 'label': 'GN'}] GN/2015_109763_4.jpg
Misclassified image #11 [{'score': 0.9793561100959778, 'label': 'GP'}, {'score': 0.020643897354602814, 'label': 'GN'}] GN/2015_109763_5.jpg
Misclassified image #12 [{'score': 0.6280713081359863, 'label': 'GP'}, {'score': 0.37192869186401367, 'label': 'GN'}] GN/2015_109925_1.jpg
Misclassified image #13 [{'score': 0.5931383371353149, 'label': 'GP'}, {'score': 0.4068617522716522, 'label': 'GN'}] GN/2015_110966_0.jpg
Misclassified image #14 [{'score': 0.7345782518386841, 'label': 'GP'}, {'score': 0.2654217779636383, 'label': 'GN'}] GN/2015_110966_1.jpg
Misclassified image #15 [{'score': 0.9429283142089844, 'label': 'GP'}, {'score': 0.05707170441746712, 'label': 'GN'}] GN/2015_111229_0.jpg
Misclassified image #16 [{'score': 0.912116527557373, 'label': 'GP'}, {'score': 0.08788351714611053, 'label': 'GN'}] GN/2015_111229_1.jpg
Misclassified image #17 [{'score': 0.5466717481613159, 'label': 'GP'}, {'score': 0.4533282518386841, 'label': 'GN'}] GN/2015_111229_2.jpg
Misclassified image #18 [{'score': 0.9612920880317688, 'label': 'GP'}, {'score': 0.038707830011844635, 'label': 'GN'}] GN/2015_111229_3.jpg
Misclassified image #19 [{'score': 0.5462833642959595, 'label': 'GP'}, {'score': 0.4537166953086853, 'label': 'GN'}] GN/2015_111287_0.jpg
Misclassified image #20 [{'score': 0.7882866263389587, 'label': 'GP'}, {'score': 0.21171335875988007, 'label': 'GN'}] GN/2015_111861_0.jpg
Misclassified image #21 [{'score': 0.6566206812858582, 'label': 'GP'}, {'score': 0.34337934851646423, 'label': 'GN'}] GN/2015_111923_1.jpg
Misclassified image #22 [{'score': 0.6061419248580933, 'label': 'GP'}, {'score': 0.3938581049442291, 'label': 'GN'}] GN/2015_111923_3.jpg
Misclassified image #23 [{'score': 0.5223975777626038, 'label': 'GP'}, {'score': 0.47760239243507385, 'label': 'GN'}] GN/2015_112502_1.jpg
Misclassified image #24 [{'score': 0.5998700261116028, 'label': 'GP'}, {'score': 0.4001299738883972, 'label': 'GN'}] GN/2015_112502_2.jpg
Misclassified image #25 [{'score': 0.645056426525116, 'label': 'GP'}, {'score': 0.3549436032772064, 'label': 'GN'}] GN/2015_113184_2.jpg
Misclassified image #26 [{'score': 0.6436542272567749, 'label': 'GP'}, {'score': 0.3563457727432251, 'label': 'GN'}] GN/2015_113341_1.jpg
Misclassified image #27 [{'score': 0.6760038733482361, 'label': 'GP'}, {'score': 0.32399606704711914, 'label': 'GN'}] GN/2015_114062_0.jpg
Misclassified image #28 [{'score': 0.9800369739532471, 'label': 'GP'}, {'score': 0.019963031634688377, 'label': 'GN'}] GN/2015_114062_1.jpg
Misclassified image #29 [{'score': 0.9819971919059753, 'label': 'GP'}, {'score': 0.018002783879637718, 'label': 'GN'}] GN/2015_114062_2.jpg
Misclassified image #30 [{'score': 0.514789342880249, 'label': 'GP'}, {'score': 0.485210657119751, 'label': 'GN'}] GN/2015_114804_1.jpg
Misclassified image #31 [{'score': 0.5682715177536011, 'label': 'GP'}, {'score': 0.4317284822463989, 'label': 'GN'}] GN/2015_115542_0.jpg
Misclassified image #32 [{'score': 0.8505499362945557, 'label': 'GP'}, {'score': 0.14945004880428314, 'label': 'GN'}] GN/2015_115542_1.jpg
Misclassified image #33 [{'score': 0.722916305065155, 'label': 'GP'}, {'score': 0.27708375453948975, 'label': 'GN'}] GN/2015_115542_2.jpg
Misclassified image #34 [{'score': 0.5134044289588928, 'label': 'GP'}, {'score': 0.4865955710411072, 'label': 'GN'}] GN/2015_116356_2.jpg
Misclassified image #35 [{'score': 0.5097411274909973, 'label': 'GP'}, {'score': 0.4902588725090027, 'label': 'GN'}] GN/2015_116698_1.jpg
Misclassified image #36 [{'score': 0.9161880612373352, 'label': 'GP'}, {'score': 0.08381194621324539, 'label': 'GN'}] GN/2015_117634_1.jpg
Misclassified image #37 [{'score': 0.9808688163757324, 'label': 'GP'}, {'score': 0.019131185486912727, 'label': 'GN'}] GN/2015_117634_2.jpg
Misclassified image #38 [{'score': 0.6170229911804199, 'label': 'GP'}, {'score': 0.3829769790172577, 'label': 'GN'}] GN/2015_117862_0.jpg
Misclassified image #39 [{'score': 0.6711022257804871, 'label': 'GP'}, {'score': 0.3288978040218353, 'label': 'GN'}] GN/2015_117862_2.jpg
Misclassified image #40 [{'score': 0.6991562843322754, 'label': 'GP'}, {'score': 0.3008436858654022, 'label': 'GN'}] GN/2015_117974_2.jpg
Misclassified image #41 [{'score': 0.738455057144165, 'label': 'GP'}, {'score': 0.2615449130535126, 'label': 'GN'}] GN/2015_118083_0.jpg
Misclassified image #42 [{'score': 0.578056812286377, 'label': 'GP'}, {'score': 0.42194315791130066, 'label': 'GN'}] GN/2015_118887_0.jpg
Misclassified image #43 [{'score': 0.5166338682174683, 'label': 'GP'}, {'score': 0.4833661913871765, 'label': 'GN'}] GN/2015_121186_1.jpg
Misclassified image #44 [{'score': 0.8035680651664734, 'label': 'GP'}, {'score': 0.1964319348335266, 'label': 'GN'}] GN/2015_122407_1.jpg
Misclassified image #45 [{'score': 0.5070890188217163, 'label': 'GP'}, {'score': 0.49291104078292847, 'label': 'GN'}] GN/2015_122407_2.jpg
Misclassified image #46 [{'score': 0.7691432237625122, 'label': 'GP'}, {'score': 0.2308567613363266, 'label': 'GN'}] GN/2015_123243_0.jpg
