# python quantizer.py -mp $(pwd)/out/BEIT/1_2022-09-26-23-22-59/model/
Resolving data files: 100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1000/1000 [00:00<00:00, 88355.08it/s]
WARNING:datasets.builder:Using custom data configuration default-0457705da11e039f
WARNING:datasets.builder:Reusing dataset imagefolder (/root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597)
100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1/1 [00:00<00:00, 77.49it/s]
WARNING:datasets.arrow_dataset:Loading cached processed dataset at /root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597/cache-7de29a718a59cffc.arrow
Misclassified image #1 [{'score': 0.7143259048461914, 'label': 'GP'}, {'score': 0.2856740951538086, 'label': 'GN'}] GN/2015_106542_2.jpg
Misclassified image #2 [{'score': 0.8455367088317871, 'label': 'GP'}, {'score': 0.15446321666240692, 'label': 'GN'}] GN/2015_106628_2.jpg
Misclassified image #3 [{'score': 0.9372953772544861, 'label': 'GP'}, {'score': 0.0627046599984169, 'label': 'GN'}] GN/2015_107284_1.jpg
Misclassified image #4 [{'score': 0.6366145014762878, 'label': 'GP'}, {'score': 0.36338546872138977, 'label': 'GN'}] GN/2015_108262_2.jpg
Misclassified image #5 [{'score': 0.93180251121521, 'label': 'GP'}, {'score': 0.06819748133420944, 'label': 'GN'}] GN/2015_109763_0.jpg
Misclassified image #6 [{'score': 0.9549282193183899, 'label': 'GP'}, {'score': 0.0450718067586422, 'label': 'GN'}] GN/2015_109763_1.jpg
Misclassified image #7 [{'score': 0.9821276664733887, 'label': 'GP'}, {'score': 0.017872342839837074, 'label': 'GN'}] GN/2015_109763_2.jpg
Misclassified image #8 [{'score': 0.9892268180847168, 'label': 'GP'}, {'score': 0.010773121379315853, 'label': 'GN'}] GN/2015_109763_3.jpg
Misclassified image #9 [{'score': 0.9489777088165283, 'label': 'GP'}, {'score': 0.051022280007600784, 'label': 'GN'}] GN/2015_109763_4.jpg
Misclassified image #10 [{'score': 0.9585620164871216, 'label': 'GP'}, {'score': 0.04143798351287842, 'label': 'GN'}] GN/2015_109763_5.jpg
Misclassified image #11 [{'score': 0.5873740911483765, 'label': 'GP'}, {'score': 0.41262590885162354, 'label': 'GN'}] GN/2015_110826_2.jpg
Misclassified image #12 [{'score': 0.7389212846755981, 'label': 'GP'}, {'score': 0.26107874512672424, 'label': 'GN'}] GN/2015_110922_0.jpg
Misclassified image #13 [{'score': 0.638999879360199, 'label': 'GP'}, {'score': 0.36100003123283386, 'label': 'GN'}] GN/2015_110953_0.jpg
Misclassified image #14 [{'score': 0.5737747550010681, 'label': 'GP'}, {'score': 0.4262251853942871, 'label': 'GN'}] GN/2015_111229_0.jpg
Misclassified image #15 [{'score': 0.9132745862007141, 'label': 'GP'}, {'score': 0.0867253839969635, 'label': 'GN'}] GN/2015_111229_3.jpg
Misclassified image #16 [{'score': 0.987245500087738, 'label': 'GP'}, {'score': 0.012754522264003754, 'label': 'GN'}] GN/2015_111287_0.jpg
