# python quantizer.py -mp $(pwd)/out/DEIT/100_2022-09-26-23-40-27/model/
Resolving data files: 100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1000/1000 [00:00<00:00, 324310.21it/s]
WARNING:datasets.builder:Using custom data configuration default-0457705da11e039f
WARNING:datasets.builder:Reusing dataset imagefolder (/root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597)
100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1/1 [00:00<00:00, 128.31it/s]
WARNING:datasets.arrow_dataset:Loading cached processed dataset at /root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597/cache-7de29a718a59cffc.arrow
Misclassified image #1 [{'score': 0.9999675750732422, 'label': 'GP'}, {'score': 3.2425545214209706e-05, 'label': 'GN'}] GN/2015_106542_2.jpg
Misclassified image #2 [{'score': 0.9999914169311523, 'label': 'GP'}, {'score': 8.525961675331928e-06, 'label': 'GN'}] GN/2015_108833_0.jpg
Misclassified image #3 [{'score': 0.9999938011169434, 'label': 'GP'}, {'score': 6.230666713236133e-06, 'label': 'GN'}] GN/2015_109763_0.jpg
Misclassified image #4 [{'score': 1.0, 'label': 'GP'}, {'score': 1.6869662999852153e-08, 'label': 'GN'}] GN/2015_109763_1.jpg
Misclassified image #5 [{'score': 1.0, 'label': 'GP'}, {'score': 1.342186273234347e-08, 'label': 'GN'}] GN/2015_109763_2.jpg
Misclassified image #6 [{'score': 1.0, 'label': 'GP'}, {'score': 5.8020365401034724e-08, 'label': 'GN'}] GN/2015_109763_3.jpg
Misclassified image #7 [{'score': 0.9845482707023621, 'label': 'GP'}, {'score': 0.015451702289283276, 'label': 'GN'}] GN/2015_109763_4.jpg
Misclassified image #8 [{'score': 0.9998782873153687, 'label': 'GP'}, {'score': 0.00012170390255050734, 'label': 'GN'}] GN/2015_109763_5.jpg
Misclassified image #9 [{'score': 0.8385481834411621, 'label': 'GP'}, {'score': 0.1614517867565155, 'label': 'GN'}] GN/2015_110966_2.jpg
Misclassified image #10 [{'score': 0.9941577911376953, 'label': 'GP'}, {'score': 0.0058421785943210125, 'label': 'GN'}] GN/2015_111151_1.jpg
Misclassified image #11 [{'score': 0.7800864577293396, 'label': 'GP'}, {'score': 0.2199135273694992, 'label': 'GN'}] GN/2015_111151_2.jpg
Misclassified image #12 [{'score': 0.9998857975006104, 'label': 'GP'}, {'score': 0.00011423519026720896, 'label': 'GN'}] GN/2015_111229_3.jpg
Misclassified image #13 [{'score': 0.9999974966049194, 'label': 'GP'}, {'score': 2.5562701466697035e-06, 'label': 'GN'}] GN/2015_111287_0.jpg
Misclassified image #14 [{'score': 0.9999994039535522, 'label': 'GP'}, {'score': 5.966094249743037e-07, 'label': 'GN'}] GN/2015_111861_0.jpg
Misclassified image #15 [{'score': 0.9997196793556213, 'label': 'GP'}, {'score': 0.000280314648989588, 'label': 'GN'}] GN/2015_112502_0.jpg
Misclassified image #16 [{'score': 0.9997639060020447, 'label': 'GP'}, {'score': 0.0002361410006415099, 'label': 'GN'}] GN/2015_112502_2.jpg
