# python quantizer.py -mp $(pwd)/out/VIT/1_2022-09-26-21-42-40/model/
Resolving data files: 100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1000/1000 [00:00<00:00, 32262.39it/s]
WARNING:datasets.builder:Using custom data configuration default-0457705da11e039f
WARNING:datasets.builder:Reusing dataset imagefolder (/root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597)
100%|¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦| 1/1 [00:00<00:00, 127.62it/s]
WARNING:datasets.arrow_dataset:Loading cached processed dataset at /root/.cache/huggingface/datasets/imagefolder/default-0457705da11e039f/0.0.0/48efdc62d40223daee675ca093d163bcb6cb0b7d7f93eb25aebf5edca72dc597/cache-7de29a718a59cffc.arrow
Misclassified image #1 [{'score': 0.704725444316864, 'label': 'GP'}, {'score': 0.2952744662761688, 'label': 'GN'}] GN/2015_106542_2.jpg
Misclassified image #2 [{'score': 0.9664753675460815, 'label': 'GP'}, {'score': 0.03352466598153114, 'label': 'GN'}] GN/2015_107284_1.jpg
Misclassified image #3 [{'score': 0.75690096616745, 'label': 'GP'}, {'score': 0.24309903383255005, 'label': 'GN'}] GN/2015_108024_0.jpg
Misclassified image #4 [{'score': 0.5039688944816589, 'label': 'GP'}, {'score': 0.4960310757160187, 'label': 'GN'}] GN/2015_108271_1.jpg
Misclassified image #5 [{'score': 0.5502420663833618, 'label': 'GP'}, {'score': 0.44975796341896057, 'label': 'GN'}] GN/2015_108342_0.jpg
Misclassified image #6 [{'score': 0.659393310546875, 'label': 'GP'}, {'score': 0.3406066298484802, 'label': 'GN'}] GN/2015_108833_0.jpg
Misclassified image #7 [{'score': 0.952568531036377, 'label': 'GP'}, {'score': 0.047431450337171555, 'label': 'GN'}] GN/2015_109763_0.jpg
Misclassified image #8 [{'score': 0.8880985975265503, 'label': 'GP'}, {'score': 0.11190138757228851, 'label': 'GN'}] GN/2015_109763_1.jpg
Misclassified image #9 [{'score': 0.9912882447242737, 'label': 'GP'}, {'score': 0.008711738511919975, 'label': 'GN'}] GN/2015_109763_2.jpg
Misclassified image #10 [{'score': 0.8878617882728577, 'label': 'GP'}, {'score': 0.11213818192481995, 'label': 'GN'}] GN/2015_109763_3.jpg
Misclassified image #11 [{'score': 0.9076929688453674, 'label': 'GP'}, {'score': 0.09230698645114899, 'label': 'GN'}] GN/2015_109763_4.jpg
Misclassified image #12 [{'score': 0.980148434638977, 'label': 'GP'}, {'score': 0.01985161192715168, 'label': 'GN'}] GN/2015_109763_5.jpg
Misclassified image #13 [{'score': 0.6548140645027161, 'label': 'GP'}, {'score': 0.3451859951019287, 'label': 'GN'}] GN/2015_109925_1.jpg
Misclassified image #14 [{'score': 0.5425063967704773, 'label': 'GP'}, {'score': 0.4574936628341675, 'label': 'GN'}] GN/2015_110695_1.jpg
Misclassified image #15 [{'score': 0.6375541090965271, 'label': 'GP'}, {'score': 0.3624458909034729, 'label': 'GN'}] GN/2015_110966_0.jpg
Misclassified image #16 [{'score': 0.7645730972290039, 'label': 'GP'}, {'score': 0.2354268580675125, 'label': 'GN'}] GN/2015_110966_1.jpg
